timestamp,ticker,severity,message,regime
2026-04-20 17:51:57.631179,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:51:58.525660,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:51:58.621597,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:38.703029,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:39.192484,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:39.267774,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:12.966551,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:13.204112,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:13.393842,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.422081,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.508211,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.609209,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:24:59.880646,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:24:59.979374,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:00.077051,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.467860,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.567321,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.659233,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.551256,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.651289,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.743711,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:29.455001,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:30.297255,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:30.390286,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.485043,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.594042,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.683040,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:17.778621,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2243 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:18.135294,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2997 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:18.239766,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3341 (>0.05),EXTREME-VOLATILITY
